,Column1
303,"Plant molecular biology, Plant Mol. Biol."
304,"Plant physiology and biochemistry : PPB, Plant Physiol. Biochem."
305,"Plant physiology, Plant Physiol."
306,"Plant, cell & environment, Plant Cell Environ."
307,"Planta, Planta"
308,"Plastic and reconstructive surgery, Plast. Reconstr. Surg."
309,"PloS one, PLoS ONE"
310,"Polish journal of veterinary sciences, Pol J Vet Sci"
311,"Poultry science, Poult. Sci."
312,"Proceedings of the National Academy of Sciences of the United States of America, Proc. Natl. Acad. Sci. U.S.A."
313,"Progress in neuro-psychopharmacology & biological psychiatry, Prog. Neuropsychopharmacol. Biol. Psychiatry"
314,"Psychopharmacology, Psychopharmacology (Berl.)"
315,"Radiation and environmental biophysics, Radiat Environ Biophys"
316,"Radiation research, Radiat. Res."
317,"Research in microbiology, Res. Microbiol."
318,"Rice (New York, N.Y.), Rice (N Y)"
319,"Scientific reports, Sci Rep"
320,"Surgical oncology, Surg Oncol"
321,"TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik, Theor. Appl. Genet."
322,"Technology in cancer research & treatment, Technol. Cancer Res. Treat."
323,"The Journal of allergy and clinical immunology, J. Allergy Clin. Immunol."
324,"The Journal of biological chemistry, J. Biol. Chem."
325,"The Journal of general and applied microbiology, J. Gen. Appl. Microbiol."
326,"The Journal of international medical research, J. Int. Med. Res."
327,"The New phytologist, New Phytol."
328,"The Plant cell, Plant Cell"
329,"The Plant journal : for cell and molecular biology, Plant J."
330,"The Science of the total environment, Sci. Total Environ."
331,"The journals of gerontology. Series A, Biological sciences and medical sciences, J. Gerontol. A Biol. Sci. Med. Sci."
332,"The world journal of biological psychiatry : the official journal of the World Federation of Societies of Biological Psychiatry, World J. Biol. Psychiatry"
333,"Theriogenology, Theriogenology"
334,"Toxicology and industrial health, Toxicol Ind Health"
335,"Toxins, Toxins (Basel)"
336,"Transcription, Transcription"
337,"Translational psychiatry, Transl Psychiatry"
338,"Transplantation proceedings, Transplant. Proc."
339,"Tree physiology, Tree Physiol."
340,"Tumori, Tumori"
341,"Twin research and human genetics : the official journal of the International Society for Twin Studies, Twin Res Hum Genet"
342,"Vascular, Vascular"
343,"Veterinary immunology and immunopathology, Vet. Immunol. Immunopathol."
344,"Veterinary microbiology, Vet. Microbiol."
345,"Virology, Virology"
346,"Virulence, Virulence"
347,"Viruses, Viruses"
348,"Water environment research : a research publication of the Water Environment Federation, Water Environ. Res."
349,"World journal of gastroenterology, World J. Gastroenterol."
350,"World journal of microbiology & biotechnology, World J. Microbiol. Biotechnol."
351,"World journal of surgical oncology, World J Surg Oncol"
352,"Ying yong sheng tai xue bao = The journal of applied ecology, Ying Yong Sheng Tai Xue Bao"
353,"Yonsei medical journal, Yonsei Med. J."
354,"Zeitschrift fur Naturforschung. C, Journal of biosciences, Z. Naturforsch., C, J. Biosci."
355,"Zoological science, Zool. Sci."
